Trait,Method,Trait Score,MMLU,GSM8K
Evil,Base,95.42,68.26,77.1
Evil,Steering,58.67,68.7,74.91
Evil,Steer2Edit,0.13,63.63,77.1
Evil,TFTV,0.49,68.34,76.72
Evil,Task Vectors,8.59,67.64,75.89
Evil,CWS,1.64,68.39,77.18
Hallucinating,Base,97.53,68.26,77.1
Hallucinating,Steering,79.13,67.21,77.26
Hallucinating,Steer2Edit,5.31,64.35,75.36
Hallucinating,TFTV,1.85,68.47,78.54
Hallucinating,Task Vectors,26.02,67.36,75.59
Hallucinating,CWS,3.26,64.21,0.3
Sycophantic,Base,92.06,68.26,77.1
Sycophantic,Steering,53.65,68.06,76.27
Sycophantic,Steer2Edit,5.31,62.18,72.78
Sycophantic,TFTV,14.62,68.42,77.03
Sycophantic,Task Vectors,32.29,66.96,76.72
Sycophantic,CWS,24.91,68.01,77.63
