Trait,Method,Trait Score,MMLU,GSM8K,MMLU / Base,GSM8K / Base,Utility Score
Evil,Base,0.0,68.26,77.1,1.0,1.0,1.0
Evil,Steering,14.06,67.29,75.82,0.985789627893349,0.9833981841763942,0.9845939060348716
Evil,Steer2Edit,26.69,63.48,74.91,0.9299736302373277,0.9715953307392996,0.9507844804883137
Evil,TFTV,63.26,68.27,76.42,1.0001464986815118,0.9911802853437096,0.9956633920126108
Evil,Task Vectors,95.62,65.21,59.97,0.9553179021388806,0.7778210116731518,0.8665694569060162
Evil,CWS,90.67,67.75,74.45,0.9925285672428947,0.9656290531776914,0.9790788102102931
Hallucinating,Base,17.03,68.26,77.1,1.0,1.0,1.0
Hallucinating,Steering,61.51,67.41,73.09,0.9875476120714912,0.9479896238651103,0.9677686179683007
Hallucinating,Steer2Edit,89.25,63.99,76.27,0.937445062994433,0.9892347600518807,0.9633399115231569
Hallucinating,TFTV,98.55,68.11,73.39,0.9978025197773219,0.9518806744487679,0.9748415971130449
Hallucinating,Task Vectors,94.54,65.75,76.42,0.9632288309405215,0.9911802853437096,0.9772045581421156
Hallucinating,CWS,99.09,63.26,36.09,0.9267506592440667,0.46809338521400784,0.6974220222290373
Sycophantic,Base,3.6,68.26,77.1,1.0,1.0,1.0
Sycophantic,Steering,63.86,67.29,75.44,0.985789627893349,0.9784695201037614,0.9821295739985552
Sycophantic,Steer2Edit,81.44,63.4,73.77,0.9288016407852329,0.9568093385214008,0.9428054896533169
Sycophantic,TFTV,94.64,68.21,74.53,0.9992675065924405,0.9666666666666668,0.9829670866295537
Sycophantic,Task Vectors,89.55,65.88,75.97,0.9651333138001756,0.9853437094682231,0.9752385116341994
Sycophantic,CWS,87.13,67.87,77.41,0.9942865514210372,1.0040207522697795,0.9991536518454083
