Trait,Method,Trait Score,MMLU,GSM8K,MMLU / Base,GSM8K / Base,Utility Score
Evil,Base,95.42,68.26,77.1,1.0,1.0,1.0
Evil,Steering,58.67,68.7,74.91,1.0064459419865222,0.9715953307392996,0.9890206363629108
Evil,Steer2Edit,0.13,63.63,77.1,0.9321711104600058,1.0,0.966085555230003
Evil,TFTV,0.49,68.34,76.72,1.001171989452095,0.9950713359273671,0.998121662689731
Evil,Task Vectors,8.59,67.64,75.89,0.9909170817462642,0.9843060959792478,0.987611588862756
Evil,CWS,1.64,68.39,77.18,1.0019044828596542,1.0010376134889756,1.0014710481743148
Hallucinating,Base,97.53,68.26,77.1,1.0,1.0,1.0
Hallucinating,Steering,79.13,67.21,77.26,0.9846176384412538,1.002075226977951,0.9933464327096024
Hallucinating,Steer2Edit,5.31,64.35,75.36,0.9427190155288601,0.9774319066147861,0.9600754610718231
Hallucinating,TFTV,1.85,68.47,78.54,1.0030764723117491,1.0186770428015566,1.0108767575566528
Hallucinating,Task Vectors,26.02,67.36,75.59,0.9868151186639319,0.9804150453955902,0.9836150820297611
Hallucinating,CWS,3.26,64.21,0.3,0.9406680339876939,0.0038910505836575876,0.47227954228567576
Sycophantic,Base,92.06,68.26,77.1,1.0,1.0,1.0
Sycophantic,Steering,53.65,68.06,76.27,0.9970700263697626,0.9892347600518807,0.9931523932108217
Sycophantic,Steer2Edit,5.31,62.18,72.78,0.9109288016407852,0.9439688715953308,0.927448836618058
Sycophantic,TFTV,14.62,68.42,77.03,1.00234397890419,0.9990920881971467,1.0007180335506682
Sycophantic,Task Vectors,32.29,66.96,76.72,0.9809551714034572,0.9950713359273671,0.9880132536654122
Sycophantic,CWS,24.91,68.01,77.63,0.9963375329622033,1.0068741893644617,1.0016058611633325
